Parking_lot,image,car_count
IllerCreek,08-06-2020-10-57.jpeg,14
IllerCreek,08-06-2020-11-07.jpeg,14
IllerCreek,08-06-2020-11-17.jpeg,12
IllerCreek,08-06-2020-11-28.jpeg,13
IllerCreek,08-06-2020-11-38.jpeg,11
IllerCreek,08-06-2020-11-48.jpeg,13
IllerCreek,08-06-2020-11-58.jpeg,13
IllerCreek,08-06-2020-12-08.jpeg,11
IllerCreek,08-06-2020-12-38.jpeg,11
IllerCreek,08-06-2020-12-48.jpeg,11
IllerCreek,08-06-2020-12-58.jpeg,10
IllerCreek,08-06-2020-13-08.jpeg,12
IllerCreek,08-06-2020-13-18.jpeg,11
IllerCreek,08-06-2020-13-28.jpeg,11
IllerCreek,08-06-2020-13-38.jpeg,10
IllerCreek,08-06-2020-13-48.jpeg,11
IllerCreek,08-06-2020-13-58.jpeg,12
IllerCreek,08-06-2020-14-08.jpeg,10
IllerCreek,08-06-2020-14-18.jpeg,9
IllerCreek,08-06-2020-14-28.jpeg,7
IllerCreek,08-06-2020-14-38.jpeg,10
IllerCreek,08-06-2020-14-48.jpeg,10
IllerCreek,08-06-2020-14-58.jpeg,8
IllerCreek,08-06-2020-15-09.jpeg,8
IllerCreek,08-06-2020-15-19.jpeg,8
IllerCreek,08-06-2020-15-29.jpeg,8
IllerCreek,08-06-2020-15-41.jpeg,6
IllerCreek,08-06-2020-15-51.jpeg,7
IllerCreek,08-06-2020-16-01.jpeg,8
IllerCreek,08-06-2020-16-11.jpeg,6
IllerCreek,08-06-2020-16-21.jpeg,5
IllerCreek,08-06-2020-16-32.jpeg,6
IllerCreek,08-06-2020-16-42.jpeg,5
IllerCreek,08-06-2020-16-52.jpeg,5
IllerCreek,08-06-2020-17-02.jpeg,5
IllerCreek,08-06-2020-17-12.jpeg,5
IllerCreek,08-06-2020-17-22.jpeg,5
IllerCreek,08-06-2020-17-32.jpeg,5
IllerCreek,08-06-2020-18-44.jpeg,6
IllerCreek,08-06-2020-18-54.jpeg,5
IllerCreek,08-06-2020-19-04.jpeg,6
IllerCreek,08-06-2020-19-14.jpeg,5
IllerCreek,08-06-2020-19-24.jpeg,5
IllerCreek,08-06-2020-19-34.jpeg,5
IllerCreek,08-06-2020-19-44.jpeg,5
IllerCreek,08-06-2020-19-54.jpeg,3
IllerCreek,08-06-2020-20-04.jpeg,2
IllerCreek,08-06-2020-23-05.jpeg,0
StevensCreek,08-06-2020-00-04.jpeg,0
StevensCreek,08-06-2020-00-15.jpeg,0
StevensCreek,08-06-2020-00-26.jpeg,0
StevensCreek,08-06-2020-00-37.jpeg,0
StevensCreek,08-06-2020-00-48.jpeg,0
StevensCreek,08-06-2020-00-59.jpeg,0
StevensCreek,08-06-2020-01-10.jpeg,0
StevensCreek,08-06-2020-01-21.jpeg,0
StevensCreek,08-06-2020-01-32.jpeg,0
StevensCreek,08-06-2020-01-43.jpeg,0
StevensCreek,08-06-2020-01-54.jpeg,0
StevensCreek,08-06-2020-02-05.jpeg,0
StevensCreek,08-06-2020-02-15.jpeg,0
StevensCreek,08-06-2020-02-26.jpeg,0
StevensCreek,08-06-2020-02-37.jpeg,0
StevensCreek,08-06-2020-02-48.jpeg,0
StevensCreek,08-06-2020-02-59.jpeg,0
StevensCreek,08-06-2020-03-10.jpeg,0
StevensCreek,08-06-2020-03-21.jpeg,0
StevensCreek,08-06-2020-03-33.jpeg,0
StevensCreek,08-06-2020-03-44.jpeg,0
StevensCreek,08-06-2020-03-55.jpeg,0
StevensCreek,08-06-2020-04-06.jpeg,0
StevensCreek,08-06-2020-04-17.jpeg,0
StevensCreek,08-06-2020-04-27.jpeg,0
StevensCreek,08-06-2020-04-38.jpeg,0
StevensCreek,08-06-2020-04-50.jpeg,0
StevensCreek,08-06-2020-05-01.jpeg,0
StevensCreek,08-06-2020-05-12.jpeg,0
StevensCreek,08-06-2020-05-23.jpeg,0
StevensCreek,08-06-2020-05-33.jpeg,0
StevensCreek,08-06-2020-05-44.jpeg,0
StevensCreek,08-06-2020-05-55.jpeg,0
StevensCreek,08-06-2020-06-06.jpeg,0
StevensCreek,08-06-2020-06-17.jpeg,0
StevensCreek,08-06-2020-06-28.jpeg,0
StevensCreek,08-06-2020-06-38.jpeg,0
StevensCreek,08-06-2020-06-49.jpeg,0
StevensCreek,08-06-2020-07-00.jpeg,0
StevensCreek,08-06-2020-07-11.jpeg,0
StevensCreek,08-06-2020-07-21.jpeg,0
StevensCreek,08-06-2020-07-32.jpeg,0
StevensCreek,08-06-2020-07-43.jpeg,0
StevensCreek,08-06-2020-07-54.jpeg,0
StevensCreek,08-06-2020-08-05.jpeg,0
StevensCreek,08-06-2020-08-15.jpeg,0
StevensCreek,08-06-2020-08-27.jpeg,0
StevensCreek,08-06-2020-08-37.jpeg,0
StevensCreek,08-06-2020-08-47.jpeg,0
StevensCreek,08-06-2020-08-57.jpeg,0
StevensCreek,08-06-2020-09-07.jpeg,0
StevensCreek,08-06-2020-09-17.jpeg,0
StevensCreek,08-06-2020-09-27.jpeg,0
StevensCreek,08-06-2020-09-37.jpeg,0
StevensCreek,08-06-2020-09-47.jpeg,0
StevensCreek,08-06-2020-09-57.jpeg,1
StevensCreek,08-06-2020-10-07.jpeg,0
StevensCreek,08-06-2020-10-17.jpeg,2
StevensCreek,08-06-2020-10-27.jpeg,2
StevensCreek,08-06-2020-10-37.jpeg,3
StevensCreek,08-06-2020-10-47.jpeg,3
StevensCreek,08-06-2020-10-57.jpeg,0
StevensCreek,08-06-2020-11-07.jpeg,0
StevensCreek,08-06-2020-11-17.jpeg,0
StevensCreek,08-06-2020-11-28.jpeg,0
StevensCreek,08-06-2020-11-38.jpeg,0
StevensCreek,08-06-2020-11-48.jpeg,0
StevensCreek,08-06-2020-11-58.jpeg,0
StevensCreek,08-06-2020-12-08.jpeg,0
StevensCreek,08-06-2020-12-18.jpeg,0
StevensCreek,08-06-2020-12-28.jpeg,0
StevensCreek,08-06-2020-12-38.jpeg,0
StevensCreek,08-06-2020-12-48.jpeg,0
StevensCreek,08-06-2020-12-58.jpeg,0
StevensCreek,08-06-2020-13-08.jpeg,0
StevensCreek,08-06-2020-13-18.jpeg,0
StevensCreek,08-06-2020-13-28.jpeg,0
StevensCreek,08-06-2020-13-38.jpeg,0
StevensCreek,08-06-2020-13-48.jpeg,1
StevensCreek,08-06-2020-13-58.jpeg,0
StevensCreek,08-06-2020-14-08.jpeg,1
StevensCreek,08-06-2020-14-18.jpeg,0
StevensCreek,08-06-2020-14-28.jpeg,0
StevensCreek,08-06-2020-14-38.jpeg,1
StevensCreek,08-06-2020-14-48.jpeg,0
StevensCreek,08-06-2020-14-58.jpeg,1
StevensCreek,08-06-2020-15-09.jpeg,0
StevensCreek,08-06-2020-15-19.jpeg,0
StevensCreek,08-06-2020-15-29.jpeg,2
StevensCreek,08-06-2020-15-41.jpeg,2
StevensCreek,08-06-2020-15-51.jpeg,2
StevensCreek,08-06-2020-16-01.jpeg,2
StevensCreek,08-06-2020-16-11.jpeg,2
StevensCreek,08-06-2020-16-21.jpeg,2
StevensCreek,08-06-2020-16-32.jpeg,2
StevensCreek,08-06-2020-16-42.jpeg,3
StevensCreek,08-06-2020-16-52.jpeg,4
StevensCreek,08-06-2020-17-02.jpeg,4
StevensCreek,08-06-2020-17-12.jpeg,3
StevensCreek,08-06-2020-17-22.jpeg,3
StevensCreek,08-06-2020-17-32.jpeg,3
StevensCreek,08-06-2020-18-44.jpeg,3
StevensCreek,08-06-2020-18-54.jpeg,5
StevensCreek,08-06-2020-19-04.jpeg,5
StevensCreek,08-06-2020-19-14.jpeg,7
StevensCreek,08-06-2020-19-24.jpeg,6
StevensCreek,08-06-2020-19-34.jpeg,6
StevensCreek,08-06-2020-19-44.jpeg,5
StevensCreek,08-06-2020-19-54.jpeg,5
StevensCreek,08-06-2020-20-04.jpeg,5
StevensCreek,08-06-2020-23-05.jpeg,0
