Parking_lot,image,car_count
Glenrose,03-06-2020-20-17.jpeg,4
Glenrose,03-06-2020-20-28.jpeg,3
Glenrose,03-06-2020-20-38.jpeg,2
Glenrose,03-06-2020-20-48.jpeg,2
Glenrose,03-06-2020-20-58.jpeg,2
Glenrose,03-06-2020-21-08.jpeg,2
Glenrose,03-06-2020-21-18.jpeg,1
Glenrose,03-06-2020-21-28.jpeg,1
Glenrose,03-06-2020-21-39.jpeg,1
Glenrose,03-06-2020-21-50.jpeg,1
Glenrose,03-06-2020-22-01.jpeg,1
Glenrose,03-06-2020-22-12.jpeg,0
Glenrose,03-06-2020-22-23.jpeg,0
Glenrose,03-06-2020-22-35.jpeg,0
Glenrose,03-06-2020-22-46.jpeg,0
Glenrose,03-06-2020-22-57.jpeg,0
Glenrose,03-06-2020-23-08.jpeg,0
Glenrose,03-06-2020-23-19.jpeg,0
Glenrose,03-06-2020-23-30.jpeg,0
Glenrose,03-06-2020-23-41.jpeg,0
Glenrose,03-06-2020-23-51.jpeg,0
Glenrose,04-06-2020-00-02.jpeg,0
Glenrose,04-06-2020-00-13.jpeg,0
Glenrose,04-06-2020-00-24.jpeg,0
Glenrose,04-06-2020-00-36.jpeg,0
Glenrose,04-06-2020-00-47.jpeg,0
Glenrose,04-06-2020-00-58.jpeg,0
Glenrose,04-06-2020-01-08.jpeg,0
Glenrose,04-06-2020-01-20.jpeg,0
Glenrose,04-06-2020-01-30.jpeg,0
Glenrose,04-06-2020-01-41.jpeg,0
Glenrose,04-06-2020-01-52.jpeg,0
Glenrose,04-06-2020-02-03.jpeg,0
Glenrose,04-06-2020-02-14.jpeg,0
Glenrose,04-06-2020-02-25.jpeg,0
Glenrose,04-06-2020-02-36.jpeg,0
Glenrose,04-06-2020-02-47.jpeg,0
Glenrose,04-06-2020-02-58.jpeg,0
Glenrose,04-06-2020-03-09.jpeg,0
Glenrose,04-06-2020-03-19.jpeg,0
Glenrose,04-06-2020-03-30.jpeg,0
Glenrose,04-06-2020-03-41.jpeg,0
Glenrose,04-06-2020-03-52.jpeg,0
Glenrose,04-06-2020-04-03.jpeg,0
Glenrose,04-06-2020-04-14.jpeg,0
Glenrose,04-06-2020-04-25.jpeg,0
Glenrose,04-06-2020-04-36.jpeg,0
Glenrose,04-06-2020-04-47.jpeg,0
Glenrose,04-06-2020-04-58.jpeg,0
Glenrose,04-06-2020-05-09.jpeg,0
Glenrose,04-06-2020-05-20.jpeg,0
Glenrose,04-06-2020-05-31.jpeg,0
Glenrose,04-06-2020-05-42.jpeg,1
Glenrose,04-06-2020-05-53.jpeg,1
Glenrose,04-06-2020-06-03.jpeg,1
Glenrose,04-06-2020-06-14.jpeg,2
Glenrose,04-06-2020-06-25.jpeg,1
Glenrose,04-06-2020-06-35.jpeg,0
Glenrose,04-06-2020-06-46.jpeg,0
Glenrose,04-06-2020-06-57.jpeg,1
Glenrose,04-06-2020-07-08.jpeg,1
Glenrose,04-06-2020-07-19.jpeg,1
Glenrose,04-06-2020-07-29.jpeg,2
Glenrose,04-06-2020-07-40.jpeg,4
Glenrose,04-06-2020-07-51.jpeg,5
Glenrose,04-06-2020-08-02.jpeg,5
Glenrose,04-06-2020-08-13.jpeg,5
Glenrose,04-06-2020-08-25.jpeg,5
Glenrose,04-06-2020-08-35.jpeg,3
Glenrose,04-06-2020-08-45.jpeg,2
Glenrose,04-06-2020-08-55.jpeg,3
Glenrose,04-06-2020-09-06.jpeg,0
Glenrose,04-06-2020-09-16.jpeg,0
Glenrose,04-06-2020-09-26.jpeg,0
Glenrose,04-06-2020-09-36.jpeg,1
Glenrose,04-06-2020-09-46.jpeg,1
Glenrose,04-06-2020-09-56.jpeg,2
Glenrose,04-06-2020-10-06.jpeg,2
Glenrose,04-06-2020-10-16.jpeg,3
Glenrose,04-06-2020-10-26.jpeg,5
Glenrose,04-06-2020-10-36.jpeg,5
Glenrose,04-06-2020-10-46.jpeg,6
Glenrose,04-06-2020-10-56.jpeg,6
Glenrose,04-06-2020-11-06.jpeg,6
Glenrose,04-06-2020-11-16.jpeg,9
Glenrose,04-06-2020-11-26.jpeg,9
Glenrose,04-06-2020-11-36.jpeg,11
Glenrose,04-06-2020-11-46.jpeg,9
Glenrose,04-06-2020-11-56.jpeg,9
Glenrose,04-06-2020-12-06.jpeg,9
Glenrose,04-06-2020-12-16.jpeg,10
Glenrose,04-06-2020-12-26.jpeg,8
Glenrose,04-06-2020-12-36.jpeg,7
Glenrose,04-06-2020-12-46.jpeg,6
Glenrose,04-06-2020-12-57.jpeg,7
Glenrose,04-06-2020-13-07.jpeg,8
Glenrose,04-06-2020-13-17.jpeg,7
Glenrose,04-06-2020-13-27.jpeg,7
Glenrose,04-06-2020-13-37.jpeg,7
Glenrose,04-06-2020-13-47.jpeg,4
Glenrose,04-06-2020-13-57.jpeg,4
Glenrose,04-06-2020-14-07.jpeg,4
Glenrose,04-06-2020-14-17.jpeg,5
Glenrose,04-06-2020-14-27.jpeg,7
Glenrose,04-06-2020-14-37.jpeg,6
Glenrose,04-06-2020-14-47.jpeg,6
Glenrose,04-06-2020-14-57.jpeg,5
Glenrose,04-06-2020-15-07.jpeg,5
Glenrose,04-06-2020-15-17.jpeg,5
Glenrose,04-06-2020-15-27.jpeg,5
Glenrose,04-06-2020-15-37.jpeg,1
Glenrose,04-06-2020-15-47.jpeg,1
Glenrose,04-06-2020-15-57.jpeg,0
Glenrose,04-06-2020-16-07.jpeg,1
Glenrose,04-06-2020-16-17.jpeg,3
Glenrose,04-06-2020-16-28.jpeg,4
Glenrose,04-06-2020-16-38.jpeg,4
Glenrose,04-06-2020-16-49.jpeg,4
Glenrose,04-06-2020-17-00.jpeg,4
Glenrose,04-06-2020-17-10.jpeg,5
Glenrose,04-06-2020-17-20.jpeg,4
Glenrose,04-06-2020-17-30.jpeg,4
Glenrose,04-06-2020-17-41.jpeg,5
Glenrose,04-06-2020-17-51.jpeg,5
Glenrose,04-06-2020-18-01.jpeg,6
Glenrose,04-06-2020-18-11.jpeg,4
Glenrose,04-06-2020-18-22.jpeg,6
Glenrose,04-06-2020-18-33.jpeg,6
Glenrose,04-06-2020-18-43.jpeg,5
Glenrose,04-06-2020-18-53.jpeg,3
Glenrose,04-06-2020-19-03.jpeg,3
Glenrose,04-06-2020-19-13.jpeg,1
Glenrose,04-06-2020-19-23.jpeg,2
Glenrose,04-06-2020-19-33.jpeg,3
Glenrose,04-06-2020-19-43.jpeg,2
Glenrose,04-06-2020-19-54.jpeg,3
Glenrose,04-06-2020-20-04.jpeg,1
Glenrose,04-06-2020-20-15.jpeg,3
Glenrose,04-06-2020-20-26.jpeg,3
Glenrose,04-06-2020-20-37.jpeg,1
Glenrose,04-06-2020-20-49.jpeg,0
Glenrose,04-06-2020-21-00.jpeg,0
Glenrose,04-06-2020-21-11.jpeg,0
Glenrose,04-06-2020-21-21.jpeg,0
Glenrose,04-06-2020-21-32.jpeg,0
Glenrose,04-06-2020-21-43.jpeg,0
Glenrose,04-06-2020-21-54.jpeg,0
Glenrose,04-06-2020-22-05.jpeg,0
Glenrose,04-06-2020-22-18.jpeg,0
Glenrose,04-06-2020-22-29.jpeg,0
Glenrose,04-06-2020-22-40.jpeg,0
Glenrose,04-06-2020-22-51.jpeg,0
Glenrose,04-06-2020-23-02.jpeg,0
Glenrose,04-06-2020-23-13.jpeg,0
Glenrose,04-06-2020-23-24.jpeg,0
Glenrose,04-06-2020-23-35.jpeg,1
Glenrose,04-06-2020-23-46.jpeg,0
Glenrose,04-06-2020-23-57.jpeg,0
IllerCreek,03-06-2020-17-30.jpeg,11
IllerCreek,03-06-2020-17-40.jpeg,14
IllerCreek,03-06-2020-17-50.jpeg,14
IllerCreek,03-06-2020-18-01.jpeg,15
IllerCreek,03-06-2020-18-11.jpeg,17
IllerCreek,03-06-2020-18-21.jpeg,17
IllerCreek,03-06-2020-18-31.jpeg,17
IllerCreek,03-06-2020-18-41.jpeg,17
IllerCreek,03-06-2020-18-51.jpeg,17
IllerCreek,03-06-2020-19-02.jpeg,17
IllerCreek,03-06-2020-19-13.jpeg,15
IllerCreek,03-06-2020-19-24.jpeg,9
IllerCreek,03-06-2020-19-34.jpeg,9
IllerCreek,03-06-2020-19-44.jpeg,8
IllerCreek,03-06-2020-19-55.jpeg,8
IllerCreek,03-06-2020-20-06.jpeg,7
IllerCreek,03-06-2020-20-17.jpeg,5
IllerCreek,03-06-2020-20-28.jpeg,4
IllerCreek,03-06-2020-20-38.jpeg,4
IllerCreek,03-06-2020-20-48.jpeg,3
IllerCreek,03-06-2020-20-58.jpeg,3
IllerCreek,03-06-2020-21-08.jpeg,2
IllerCreek,03-06-2020-21-18.jpeg,1
IllerCreek,03-06-2020-21-28.jpeg,1
IllerCreek,03-06-2020-21-39.jpeg,0
IllerCreek,03-06-2020-21-50.jpeg,0
IllerCreek,03-06-2020-22-01.jpeg,0
IllerCreek,03-06-2020-22-12.jpeg,0
IllerCreek,03-06-2020-22-23.jpeg,0
IllerCreek,03-06-2020-22-35.jpeg,0
IllerCreek,03-06-2020-22-46.jpeg,0
IllerCreek,03-06-2020-22-57.jpeg,0
IllerCreek,03-06-2020-23-08.jpeg,0
IllerCreek,03-06-2020-23-19.jpeg,0
IllerCreek,03-06-2020-23-30.jpeg,0
IllerCreek,03-06-2020-23-41.jpeg,0
IllerCreek,03-06-2020-23-51.jpeg,0
IllerCreek,04-06-2020-00-02.jpeg,0
IllerCreek,04-06-2020-00-13.jpeg,0
IllerCreek,04-06-2020-00-24.jpeg,0
IllerCreek,04-06-2020-00-36.jpeg,0
IllerCreek,04-06-2020-00-47.jpeg,1
IllerCreek,04-06-2020-00-58.jpeg,0
IllerCreek,04-06-2020-01-08.jpeg,0
IllerCreek,04-06-2020-01-20.jpeg,0
IllerCreek,04-06-2020-01-30.jpeg,0
IllerCreek,04-06-2020-01-41.jpeg,0
IllerCreek,04-06-2020-01-52.jpeg,0
IllerCreek,04-06-2020-02-03.jpeg,0
IllerCreek,04-06-2020-02-14.jpeg,0
IllerCreek,04-06-2020-02-25.jpeg,0
IllerCreek,04-06-2020-02-36.jpeg,0
IllerCreek,04-06-2020-02-47.jpeg,0
IllerCreek,04-06-2020-02-58.jpeg,0
IllerCreek,04-06-2020-03-09.jpeg,0
IllerCreek,04-06-2020-03-19.jpeg,0
IllerCreek,04-06-2020-03-30.jpeg,0
IllerCreek,04-06-2020-03-41.jpeg,0
IllerCreek,04-06-2020-03-52.jpeg,0
IllerCreek,04-06-2020-04-03.jpeg,1
IllerCreek,04-06-2020-04-14.jpeg,1
IllerCreek,04-06-2020-04-25.jpeg,1
IllerCreek,04-06-2020-04-36.jpeg,1
IllerCreek,04-06-2020-04-47.jpeg,1
IllerCreek,04-06-2020-04-58.jpeg,1
IllerCreek,04-06-2020-05-09.jpeg,1
IllerCreek,04-06-2020-05-20.jpeg,2
IllerCreek,04-06-2020-05-31.jpeg,2
IllerCreek,04-06-2020-05-42.jpeg,2
IllerCreek,04-06-2020-05-53.jpeg,2
IllerCreek,04-06-2020-06-03.jpeg,2
IllerCreek,04-06-2020-06-14.jpeg,2
IllerCreek,04-06-2020-06-25.jpeg,2
IllerCreek,04-06-2020-06-35.jpeg,2
IllerCreek,04-06-2020-06-46.jpeg,3
IllerCreek,04-06-2020-06-57.jpeg,2
IllerCreek,04-06-2020-07-08.jpeg,2
IllerCreek,04-06-2020-07-19.jpeg,4
IllerCreek,04-06-2020-07-29.jpeg,5
IllerCreek,04-06-2020-07-40.jpeg,7
IllerCreek,04-06-2020-07-51.jpeg,7
IllerCreek,04-06-2020-08-02.jpeg,7
IllerCreek,04-06-2020-08-13.jpeg,7
IllerCreek,04-06-2020-08-25.jpeg,6
IllerCreek,04-06-2020-08-35.jpeg,6
IllerCreek,04-06-2020-08-45.jpeg,5
IllerCreek,04-06-2020-08-55.jpeg,5
IllerCreek,04-06-2020-09-06.jpeg,4
IllerCreek,04-06-2020-09-16.jpeg,6
IllerCreek,04-06-2020-09-26.jpeg,7
IllerCreek,04-06-2020-09-36.jpeg,7
IllerCreek,04-06-2020-09-46.jpeg,7
IllerCreek,04-06-2020-09-56.jpeg,6
IllerCreek,04-06-2020-10-06.jpeg,7
IllerCreek,04-06-2020-10-16.jpeg,9
IllerCreek,04-06-2020-10-26.jpeg,10
IllerCreek,04-06-2020-10-36.jpeg,11
IllerCreek,04-06-2020-10-46.jpeg,12
IllerCreek,04-06-2020-10-56.jpeg,12
IllerCreek,04-06-2020-11-06.jpeg,12
IllerCreek,04-06-2020-11-16.jpeg,11
IllerCreek,04-06-2020-11-26.jpeg,10
IllerCreek,04-06-2020-11-36.jpeg,9
IllerCreek,04-06-2020-11-46.jpeg,9
IllerCreek,04-06-2020-11-56.jpeg,9
IllerCreek,04-06-2020-12-06.jpeg,9
IllerCreek,04-06-2020-12-16.jpeg,8
IllerCreek,04-06-2020-12-26.jpeg,7
IllerCreek,04-06-2020-12-36.jpeg,8
IllerCreek,04-06-2020-12-46.jpeg,7
IllerCreek,04-06-2020-12-57.jpeg,10
IllerCreek,04-06-2020-13-07.jpeg,10
IllerCreek,04-06-2020-13-17.jpeg,12
IllerCreek,04-06-2020-13-27.jpeg,12
IllerCreek,04-06-2020-13-37.jpeg,10
IllerCreek,04-06-2020-13-47.jpeg,10
IllerCreek,04-06-2020-13-57.jpeg,9
IllerCreek,04-06-2020-14-07.jpeg,9
IllerCreek,04-06-2020-14-17.jpeg,9
IllerCreek,04-06-2020-14-27.jpeg,10
IllerCreek,04-06-2020-14-37.jpeg,9
IllerCreek,04-06-2020-14-47.jpeg,10
IllerCreek,04-06-2020-14-57.jpeg,10
IllerCreek,04-06-2020-15-07.jpeg,8
IllerCreek,04-06-2020-15-17.jpeg,10
IllerCreek,04-06-2020-15-27.jpeg,8
IllerCreek,04-06-2020-15-37.jpeg,8
IllerCreek,04-06-2020-15-47.jpeg,8
IllerCreek,04-06-2020-15-57.jpeg,11
IllerCreek,04-06-2020-16-07.jpeg,12
IllerCreek,04-06-2020-16-17.jpeg,14
IllerCreek,04-06-2020-16-28.jpeg,12
IllerCreek,04-06-2020-16-38.jpeg,12
IllerCreek,04-06-2020-16-49.jpeg,14
IllerCreek,04-06-2020-17-00.jpeg,12
IllerCreek,04-06-2020-17-10.jpeg,12
IllerCreek,04-06-2020-17-20.jpeg,11
IllerCreek,04-06-2020-17-30.jpeg,13
IllerCreek,04-06-2020-17-41.jpeg,14
IllerCreek,04-06-2020-17-51.jpeg,11
IllerCreek,04-06-2020-18-01.jpeg,12
IllerCreek,04-06-2020-18-11.jpeg,12
IllerCreek,04-06-2020-18-22.jpeg,11
IllerCreek,04-06-2020-18-33.jpeg,11
IllerCreek,04-06-2020-18-43.jpeg,11
IllerCreek,04-06-2020-18-53.jpeg,12
IllerCreek,04-06-2020-19-03.jpeg,11
IllerCreek,04-06-2020-19-13.jpeg,10
IllerCreek,04-06-2020-19-23.jpeg,10
IllerCreek,04-06-2020-19-33.jpeg,8
IllerCreek,04-06-2020-19-43.jpeg,7
IllerCreek,04-06-2020-19-54.jpeg,8
IllerCreek,04-06-2020-20-04.jpeg,5
IllerCreek,04-06-2020-20-15.jpeg,4
IllerCreek,04-06-2020-20-26.jpeg,4
IllerCreek,04-06-2020-20-37.jpeg,3
IllerCreek,04-06-2020-20-49.jpeg,3
IllerCreek,04-06-2020-21-00.jpeg,2
IllerCreek,04-06-2020-21-11.jpeg,2
IllerCreek,04-06-2020-21-21.jpeg,2
IllerCreek,04-06-2020-21-32.jpeg,0
IllerCreek,04-06-2020-21-43.jpeg,0
IllerCreek,04-06-2020-21-54.jpeg,0
IllerCreek,04-06-2020-22-05.jpeg,0
IllerCreek,04-06-2020-22-18.jpeg,0
IllerCreek,04-06-2020-22-29.jpeg,0
IllerCreek,04-06-2020-22-40.jpeg,0
IllerCreek,04-06-2020-22-51.jpeg,0
IllerCreek,04-06-2020-23-02.jpeg,0
IllerCreek,04-06-2020-23-13.jpeg,0
IllerCreek,04-06-2020-23-24.jpeg,0
IllerCreek,04-06-2020-23-35.jpeg,0
IllerCreek,04-06-2020-23-46.jpeg,0
IllerCreek,04-06-2020-23-57.jpeg,0
StevensCreek,03-06-2020-17-30.jpeg,1
StevensCreek,03-06-2020-17-40.jpeg,1
StevensCreek,03-06-2020-17-50.jpeg,1
StevensCreek,03-06-2020-18-01.jpeg,1
StevensCreek,03-06-2020-18-11.jpeg,1
StevensCreek,03-06-2020-18-21.jpeg,2
StevensCreek,03-06-2020-18-31.jpeg,2
StevensCreek,03-06-2020-18-41.jpeg,2
StevensCreek,03-06-2020-18-51.jpeg,2
StevensCreek,03-06-2020-19-02.jpeg,1
StevensCreek,03-06-2020-19-13.jpeg,1
StevensCreek,03-06-2020-19-24.jpeg,1
StevensCreek,03-06-2020-19-34.jpeg,1
StevensCreek,03-06-2020-19-44.jpeg,0
StevensCreek,03-06-2020-19-55.jpeg,0
StevensCreek,03-06-2020-20-06.jpeg,0
StevensCreek,03-06-2020-20-17.jpeg,0
StevensCreek,03-06-2020-20-28.jpeg,0
StevensCreek,03-06-2020-20-38.jpeg,0
StevensCreek,03-06-2020-20-48.jpeg,0
StevensCreek,03-06-2020-20-58.jpeg,0
StevensCreek,03-06-2020-21-08.jpeg,0
StevensCreek,03-06-2020-21-18.jpeg,0
StevensCreek,03-06-2020-21-28.jpeg,0
StevensCreek,03-06-2020-21-39.jpeg,0
StevensCreek,03-06-2020-21-50.jpeg,0
StevensCreek,03-06-2020-22-01.jpeg,0
StevensCreek,03-06-2020-22-12.jpeg,0
StevensCreek,03-06-2020-22-23.jpeg,0
StevensCreek,03-06-2020-22-35.jpeg,0
StevensCreek,03-06-2020-22-46.jpeg,0
StevensCreek,03-06-2020-22-57.jpeg,0
StevensCreek,03-06-2020-23-08.jpeg,0
StevensCreek,03-06-2020-23-19.jpeg,0
StevensCreek,03-06-2020-23-30.jpeg,0
StevensCreek,03-06-2020-23-41.jpeg,0
StevensCreek,03-06-2020-23-51.jpeg,0
StevensCreek,04-06-2020-00-02.jpeg,0
StevensCreek,04-06-2020-00-13.jpeg,0
StevensCreek,04-06-2020-00-24.jpeg,0
StevensCreek,04-06-2020-00-36.jpeg,0
StevensCreek,04-06-2020-00-47.jpeg,0
StevensCreek,04-06-2020-00-58.jpeg,0
StevensCreek,04-06-2020-01-08.jpeg,0
StevensCreek,04-06-2020-01-20.jpeg,0
StevensCreek,04-06-2020-01-30.jpeg,0
StevensCreek,04-06-2020-01-41.jpeg,0
StevensCreek,04-06-2020-01-52.jpeg,0
StevensCreek,04-06-2020-02-03.jpeg,0
StevensCreek,04-06-2020-02-14.jpeg,0
