Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count
Glenrose,03-06-2020-13-09.jpeg,6,3,2020,13,9,1
Glenrose,03-06-2020-13-19.jpeg,6,3,2020,13,19,2
Glenrose,03-06-2020-13-29.jpeg,6,3,2020,13,29,2
Glenrose,03-06-2020-13-39.jpeg,6,3,2020,13,39,1
Glenrose,03-06-2020-13-49.jpeg,6,3,2020,13,49,1
Glenrose,03-06-2020-13-59.jpeg,6,3,2020,13,59,1
Glenrose,03-06-2020-14-09.jpeg,6,3,2020,14,9,4
Glenrose,03-06-2020-14-19.jpeg,6,3,2020,14,19,3
Glenrose,03-06-2020-14-29.jpeg,6,3,2020,14,29,5
Glenrose,03-06-2020-14-40.jpeg,6,3,2020,14,40,5
Glenrose,03-06-2020-14-50.jpeg,6,3,2020,14,50,6
Glenrose,03-06-2020-15-00.jpeg,6,3,2020,15,0,7
Glenrose,03-06-2020-15-10.jpeg,6,3,2020,15,10,4
Glenrose,03-06-2020-15-20.jpeg,6,3,2020,15,20,3
Glenrose,03-06-2020-15-30.jpeg,6,3,2020,15,30,3
Glenrose,03-06-2020-15-40.jpeg,6,3,2020,15,40,2
Glenrose,03-06-2020-15-50.jpeg,6,3,2020,15,50,4
Glenrose,03-06-2020-16-00.jpeg,6,3,2020,16,0,3
Glenrose,03-06-2020-16-10.jpeg,6,3,2020,16,10,3
Glenrose,03-06-2020-16-20.jpeg,6,3,2020,16,20,4
Glenrose,03-06-2020-16-30.jpeg,6,3,2020,16,30,4
Glenrose,03-06-2020-16-40.jpeg,6,3,2020,16,40,5
Glenrose,03-06-2020-16-50.jpeg,6,3,2020,16,50,6
Glenrose,03-06-2020-17-00.jpeg,6,3,2020,17,0,5
Glenrose,03-06-2020-17-10.jpeg,6,3,2020,17,10,1
Glenrose,03-06-2020-17-20.jpeg,6,3,2020,17,20,7
StevensCreek,02-06-2020-22-00.jpeg,6,2,2020,22,0,2
StevensCreek,02-06-2020-22-10.jpeg,6,2,2020,22,10,2
StevensCreek,02-06-2020-22-20.jpeg,6,2,2020,22,20,2
StevensCreek,02-06-2020-22-31.jpeg,6,2,2020,22,31,2
StevensCreek,02-06-2020-22-41.jpeg,6,2,2020,22,41,0
StevensCreek,02-06-2020-22-53.jpeg,6,2,2020,22,53,0
StevensCreek,02-06-2020-23-04.jpeg,6,2,2020,23,4,0
StevensCreek,02-06-2020-23-15.jpeg,6,2,2020,23,15,0
StevensCreek,02-06-2020-23-26.jpeg,6,2,2020,23,26,0
StevensCreek,02-06-2020-23-37.jpeg,6,2,2020,23,37,0
StevensCreek,02-06-2020-23-49.jpeg,6,2,2020,23,49,0
StevensCreek,03-06-2020-00-00.jpeg,6,3,2020,0,0,0
StevensCreek,03-06-2020-00-11.jpeg,6,3,2020,0,11,0
StevensCreek,03-06-2020-00-22.jpeg,6,3,2020,0,22,0
StevensCreek,03-06-2020-00-33.jpeg,6,3,2020,0,33,0
StevensCreek,03-06-2020-00-44.jpeg,6,3,2020,0,44,0
StevensCreek,03-06-2020-00-54.jpeg,6,3,2020,0,54,0
StevensCreek,03-06-2020-01-05.jpeg,6,3,2020,1,5,0
StevensCreek,03-06-2020-01-16.jpeg,6,3,2020,1,16,0
StevensCreek,03-06-2020-01-27.jpeg,6,3,2020,1,27,0
StevensCreek,03-06-2020-01-37.jpeg,6,3,2020,1,37,0
StevensCreek,03-06-2020-01-49.jpeg,6,3,2020,1,49,0
StevensCreek,03-06-2020-02-12.jpeg,6,3,2020,2,12,0
StevensCreek,03-06-2020-02-22.jpeg,6,3,2020,2,22,0
StevensCreek,03-06-2020-02-33.jpeg,6,3,2020,2,33,0
StevensCreek,03-06-2020-02-44.jpeg,6,3,2020,2,44,0
StevensCreek,03-06-2020-02-55.jpeg,6,3,2020,2,55,0
StevensCreek,03-06-2020-03-06.jpeg,6,3,2020,3,6,0
StevensCreek,03-06-2020-03-17.jpeg,6,3,2020,3,17,0
